Date,Expiry,Future_Close,Strike Price,Time_to_Expiry,LTP,IV,Delta,Gamma,Vega,Theta
2017-04-05,2017-05-25,9302.0,9000,50,356.85,12.089729309082031,0.776365542516638,0.0007180625051582058,10.289840363684446,-1.2440138463061114
2017-04-06,2017-05-25,9285.0,9000,49,331.6,11.016845703125,0.7859708022118147,0.0007775569827108064,9.914173719654226,-1.1145196137082396
2017-04-07,2017-05-25,9241.0,9000,48,302.7,11.5966796875,0.7419592828170054,0.0008313971285291351,10.827507551020338,-1.307949342533025
2017-04-10,2017-05-25,9233.9,9000,45,288.0,11.0626220703125,0.7517296095964652,0.0008827039148424781,10.265098284541496,-1.2617655870721747
2017-04-11,2017-05-25,9287.7,9000,44,333.6,11.61956787109375,0.7881849988703726,0.0007730530765151436,9.340614741602952,-1.2333398516794807
2017-04-12,2017-05-25,9249.95,9000,43,305.15,11.826515197753906,0.7565165846669667,0.0008344415628868577,9.94734277565157,-1.3679348896919863
2017-04-13,2017-05-25,9205.15,9000,42,265.0,11.28387451171875,0.7283954589178872,0.0009411954523898742,10.355146164603605,-1.3910258318082473
2017-04-17,2017-05-25,9189.6,9000,38,252.95,11.781692504882812,0.7147857592420859,0.0009721792745758853,10.070197550084096,-1.5611048815594089
2017-04-18,2017-05-25,9142.0,9000,37,219.0,11.8408203125,0.6678906820469596,0.0010534490160263588,10.567849165225937,-1.6909730142573436
2017-04-19,2017-05-25,9169.1,9000,36,232.0,11.4593505859375,0.7037543436930482,0.0010476404920196092,9.954864133863959,-1.5843927520183638
2017-04-20,2017-05-25,9182.5,9000,35,234.95,10.927200317382812,0.7291338352308387,0.001065860464607154,9.41686429725335,-1.4699994648242527
2017-04-21,2017-05-25,9156.45,9000,34,211.35,10.570526123046875,0.7089503632242431,0.001160725665826508,9.582228004735317,-1.489546932956559
2017-04-24,2017-05-25,9251.6,9000,31,289.0,11.77978515625,0.7939810418172275,0.0008972227536299446,7.683165226248885,-1.4597747691158518
